"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS11",2.99572050738389e-25,0.781187211774511,0.978,0.621,6.43001449704877e-21,"5","RPS11"
"RPL34",8.56975457131463e-25,0.746180311260608,0.994,0.866,1.83941212118697e-20,"5","RPL34"
"RPL231",8.90568414294028e-24,0.704528079428845,0.89,0.474,1.9115160444407e-19,"5","RPL23"
"RPS28",1.43800913979454e-23,0.748596768799625,0.987,0.814,3.086542817655e-19,"5","RPS28"
"TPM31",1.68271809603981e-23,0.716874944353946,0.642,0.311,3.61178612133986e-19,"5","TPM3"
"H3F3A1",2.74639618851075e-23,0.775791034856963,0.714,0.366,5.89486477901948e-19,"5","H3F3A"
"MT-ND4L1",3.20233188188286e-23,0.700802415059753,0.959,0.632,6.87348515127338e-19,"5","MT-ND4L"
"RPL39",3.43851450635269e-23,0.721979278894554,0.987,0.834,7.3804275364354e-19,"5","RPL39"
"EEF1B2",5.0405558997097e-23,0.851408723662547,0.632,0.325,1.08190491831369e-18,"5","EEF1B2"
"EIF4G2",3.09907245261483e-22,0.887931890679821,0.582,0.288,6.65184911229246e-18,"5","EIF4G2"
"HLA-A1",4.88033875031844e-22,0.630645452474849,0.972,0.667,1.04751590936835e-17,"5","HLA-A"
"UBB1",6.60425347469781e-22,0.838286926115021,0.654,0.328,1.41753696580914e-17,"5","UBB"
"MTRNR2L81",9.9524146890783e-22,1.03815745676753,0.434,0.204,2.13618628886377e-17,"5","MTRNR2L8"
"RPL4",1.26140389781807e-20,0.667353883151961,0.698,0.362,2.70747732627671e-16,"5","RPL4"
"AKAP13",1.29917784491548e-20,0.990979231784853,0.484,0.25,2.78855532632659e-16,"5","AKAP13"
"HNRNPH1",1.47256906926277e-20,1.06408527043368,0.491,0.272,3.16072225026562e-16,"5","HNRNPH1"
"SMAP2",2.4216894248413e-20,0.991655012253359,0.27,0.108,5.19791418147937e-16,"5","SMAP2"
"BIRC3",3.5644872685486e-20,1.20956999424641,0.28,0.117,7.65081547321271e-16,"5","BIRC3"
"PFDN5",6.51792697551987e-20,0.76536836747986,0.642,0.341,1.39900784602558e-15,"5","PFDN5"
"SPARC2",1.24901032395766e-19,0.588166257066834,0.736,0.344,2.68087575934271e-15,"5","SPARC"
"HSPA81",1.28028088456933e-19,1.00124991481291,0.478,0.247,2.7479948906396e-15,"5","HSPA8"
"AHNAK",1.41862705591481e-19,1.03394755677522,0.874,0.56,3.04494111281554e-15,"5","AHNAK"
"RPL37A",1.74281767196414e-19,0.671896972634419,0.962,0.682,3.74078385110382e-15,"5","RPL37A"
"COL3A12",2.50485962389299e-19,0.526515973110569,0.78,0.432,5.37643069672391e-15,"5","COL3A1"
"CCNL11",2.70901123977905e-19,0.779983399717268,0.711,0.398,5.81462172506174e-15,"5","CCNL1"
"NKTR",5.18780814300743e-19,1.16658437324533,0.346,0.17,1.11351113981511e-14,"5","NKTR"
"DNAJA11",8.10063829784711e-19,0.718986474975366,0.588,0.289,1.7387210042499e-14,"5","DNAJA1"
"MT-ATP81",8.63023185758983e-19,0.677300994344039,0.695,0.388,1.85239296591308e-14,"5","MT-ATP8"
"CFL1",1.5363879786801e-18,0.644502887843601,0.682,0.347,3.29770315743897e-14,"5","CFL1"
"SRSF52",1.68616245425905e-18,0.935969589718971,0.494,0.271,3.61917909182163e-14,"5","SRSF5"
"EZR",2.71337152265868e-18,1.05536352242518,0.45,0.27,5.82398063623458e-14,"5","EZR"
"SON1",3.38999875273626e-18,0.824227839330695,0.535,0.292,7.27629332287311e-14,"5","SON"
"PPIA1",5.31172936508828e-18,0.634565797479933,0.723,0.383,1.14010959092255e-13,"5","PPIA"
"PRDM2",2.11385886658656e-17,0.976836640705407,0.286,0.129,4.53718667124139e-13,"5","PRDM2"
"PPP2R5C",1.89023860177992e-16,1.24556366867798,0.261,0.118,4.05720813486042e-12,"5","PPP2R5C"
"COL6A22",8.58056115923974e-16,0.440831449704203,0.714,0.335,1.84173164721922e-11,"5","COL6A2"
"MYL6",3.2880183607924e-15,0.551486840639032,0.836,0.445,7.0574026096048e-11,"5","MYL6"
"XIST1",4.82686808438237e-15,0.818121165099817,0.676,0.43,1.03603896563183e-10,"5","XIST"
"FNBP1",5.08175731867332e-15,0.875582752303725,0.28,0.129,1.09074839088004e-10,"5","FNBP1"
"PPP1R15A1",5.94188169612176e-15,0.688592159823613,0.739,0.414,1.27536548725557e-10,"5","PPP1R15A"
"EEF21",6.12762795417949e-15,0.51031360003076,0.572,0.301,1.31523406408509e-10,"5","EEF2"
"ITGB11",8.37969517695412e-15,0.534834594765091,0.569,0.289,1.79861777278143e-10,"5","ITGB1"
"ANXA12",1.26376936578714e-14,0.6636853035581,0.827,0.422,2.71255456672552e-10,"5","ANXA1"
