"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PA2G4",5.09409788044478e-07,0.555135890917484,0.251,0.136,0.0109339716905867,"6","PA2G4"
"HNRNPC2",8.15446108940071e-07,0.555964318494819,0.478,0.331,0.0175027352822897,"6","HNRNPC"
"ARPC21",8.69154896121665e-07,0.572538092481234,0.384,0.247,0.0186555406903554,"6","ARPC2"
"ATP5MC2",1.02958915031838e-06,0.543866390541696,0.337,0.205,0.0220991015224338,"6","ATP5MC2"
"YWHAE1",1.1078389257933e-06,0.5551400530502,0.416,0.276,0.0237786547032273,"6","YWHAE"
"RPLP21",1.14883163230896e-06,0.364859994381884,0.776,0.66,0.0246585221558795,"6","RPLP2"
"COX7A2",1.53294239479837e-06,0.547210262360931,0.357,0.219,0.0329030755619522,"6","COX7A2"
"RPL361",1.62546390753002e-06,0.438138098498499,0.761,0.641,0.0348889573112243,"6","RPL36"
"H3F3A2",1.86573926619633e-06,0.5280063692707,0.514,0.374,0.040046227609638,"6","H3F3A"
"HNRNPK2",1.91102925147575e-06,0.573837089012342,0.427,0.296,0.0410183318536756,"6","HNRNPK"
"RPS151",2.32064096658723e-06,0.384795684251967,0.776,0.653,0.0498102377068283,"6","RPS15"
"HNRNPUL1",2.36508167710571e-06,0.548759489055452,0.251,0.142,0.050764113117397,"6","HNRNPUL1"
"NDUFA4",2.53808458545762e-06,0.564332091839284,0.337,0.214,0.0544774475422623,"6","NDUFA4"
"RPS121",3.36513792475686e-06,0.271243034527636,0.859,0.769,0.0722293204169812,"6","RPS12"
"XIST2",3.52475018812218e-06,0.369424378845248,0.592,0.434,0.0756552380378546,"6","XIST"
"RPL61",4.44919725901162e-06,0.385734357261462,0.718,0.597,0.0954975699674255,"6","RPL6"
"NDUFS51",4.8785598201237e-06,0.408064407251141,0.275,0.159,0.104713407979135,"6","NDUFS5"
"CYCS1",6.41361318547991e-06,0.574606814598825,0.263,0.16,0.137661793413141,"6","CYCS"
"RPS71",6.63153206297604e-06,0.528137223528682,0.584,0.443,0.142339204199718,"6","RPS7"
"RPS210",9.08095511238637e-06,0.419206588298468,0.749,0.632,0.194913620532261,"6","RPS2"
"TPM32",9.66754299716299e-06,0.488344226369401,0.451,0.319,0.207504142891106,"6","TPM3"
"RPS27A1",1.01220953144157e-05,0.311033430905844,0.859,0.764,0.217260653828619,"6","RPS27A"
"HSP90B12",1.46130897120487e-05,0.369166297178564,0.8,0.743,0.313655357579414,"6","HSP90B1"
"RPL92",1.61149140815797e-05,0.329161078551082,0.737,0.62,0.345890515847026,"6","RPL9"
"GRN",1.65493263739639e-05,0.445759887118868,0.263,0.158,0.355214741290761,"6","GRN"
"EIF2S2",1.81664414981119e-05,0.448645180037122,0.286,0.176,0.389924500315473,"6","EIF2S2"
"HNRNPA32",2.11016804913964e-05,0.55835106115342,0.345,0.232,0.452926470067332,"6","HNRNPA3"
"PSMA7",2.25673468002578e-05,0.508584641771618,0.278,0.174,0.484385531720733,"6","PSMA7"
"RPL142",2.27504362732913e-05,0.372718105732411,0.663,0.499,0.488315364169925,"6","RPL14"
"PABPC11",2.45850037149735e-05,0.344642595506137,0.667,0.55,0.527692519738192,"6","PABPC1"
"RPSA1",2.57759629186761e-05,0.456955638953249,0.529,0.397,0.553255268086464,"6","RPSA"
"RPL232",2.73088372883663e-05,0.379170021507427,0.624,0.485,0.586156883557494,"6","RPL23"
"SRRM11",2.93630516518706e-05,0.472712376170408,0.314,0.2,0.630248540655752,"6","SRRM1"
"NCL2",2.95816384818556e-05,0.502295514401899,0.482,0.379,0.634940288374549,"6","NCL"
"PTPRC1",3.17114490482632e-05,0.338510735299993,0.29,0.181,0.680654542371922,"6","PTPRC"
"HLA-DQA11",3.20303888200424e-05,0.443644460577479,0.306,0.193,0.687500265633391,"6","HLA-DQA1"
"RPS26",4.04269796719378e-05,0.425272924521684,0.624,0.514,0.867724691678474,"6","RPS26"
"RPS161",6.02689152039464e-05,0.372698739094058,0.631,0.519,1,"6","RPS16"
"RPN2",7.00232168660283e-05,0.438363861716294,0.314,0.204,1,"6","RPN2"
"RPS27L",7.89914624606753e-05,0.48051256527557,0.376,0.261,1,"6","RPS27L"
"HNRNPA2B12",8.13673324122179e-05,0.35482079774611,0.573,0.437,1,"6","HNRNPA2B1"
"CALR1",9.1775245935468e-05,0.508054742342041,0.431,0.316,1,"6","CALR"
"NDUFB1",9.84049837840037e-05,0.474058679822186,0.259,0.164,1,"6","NDUFB1"
"MYL61",0.000133530813069274,0.417350447893625,0.557,0.456,1,"6","MYL6"
"SRP141",0.000144670248327327,0.422525586821772,0.494,0.38,1,"6","SRP14"
"RPL221",0.000153847808519938,0.399020794977212,0.576,0.456,1,"6","RPL22"
"ARPC3",0.00016151283379364,0.433857951811669,0.263,0.172,1,"6","ARPC3"
"NSA21",0.000175760349719164,0.373343785500456,0.298,0.197,1,"6","NSA2"
"ATP5ME",0.000203494501215261,0.422420957777115,0.318,0.215,1,"6","ATP5ME"
"NPM12",0.000224622039844271,0.454078226714723,0.396,0.297,1,"6","NPM1"
"SEC61G",0.000245641278140593,0.505394441876407,0.408,0.298,1,"6","SEC61G"
"HLA-DPA12",0.000257256835473132,0.377685919496905,0.333,0.227,1,"6","HLA-DPA1"
"HSP90AA12",0.000257596146668431,0.350799518936468,0.592,0.486,1,"6","HSP90AA1"
"POLR2L",0.000318738527667369,0.473534382725612,0.31,0.219,1,"6","POLR2L"
"HNRNPDL1",0.000321683021901498,0.392305617692786,0.345,0.241,1,"6","HNRNPDL"
"ACTR2",0.000364917886392824,0.33598244791732,0.29,0.187,1,"6","ACTR2"
"RPL51",0.000428746663912213,0.369488900752804,0.663,0.553,1,"6","RPL5"
"RPL42",0.000456610815733195,0.40729400216482,0.478,0.371,1,"6","RPL4"
"RACK13",0.000508812256018053,0.395368928184018,0.49,0.388,1,"6","RACK1"
"NR4A22",0.000537213945789086,0.284314090362298,0.337,0.23,1,"6","NR4A2"
"EIF5B",0.000545307604188459,0.368883562996417,0.29,0.196,1,"6","EIF5B"
"RPS63",0.00061290114495482,0.273038542875485,0.788,0.715,1,"6","RPS6"
"RPS51",0.000660468576621673,0.354639202997682,0.573,0.462,1,"6","RPS5"
"PPIB1",0.000726442091805427,0.434105026783246,0.431,0.332,1,"6","PPIB"
"GNAS1",0.000757026533640422,0.314592315079036,0.514,0.4,1,"6","GNAS"
"CHCHD21",0.000787080936842553,0.416847463694076,0.29,0.199,1,"6","CHCHD2"
"YWHAZ1",0.000842085802397459,0.357389998318295,0.478,0.381,1,"6","YWHAZ"
"YWHAB1",0.00102410488507555,0.343064596758566,0.318,0.222,1,"6","YWHAB"
"HNRNPA13",0.00124389045868593,0.355002897359233,0.294,0.206,1,"6","HNRNPA1"
"NAP1L12",0.00148373001513706,0.334229077970393,0.353,0.257,1,"6","NAP1L1"
"RSRC22",0.0015622971317798,0.311055592685585,0.282,0.199,1,"6","RSRC2"
"SRGN2",0.00170629160291424,0.351021666599107,0.404,0.309,1,"6","SRGN"
"ATP5MPL",0.0018046935477699,0.419879238245734,0.282,0.197,1,"6","ATP5MPL"
"HLA-DPB12",0.00183313159822927,0.372153632409306,0.322,0.23,1,"6","HLA-DPB1"
"PTP4A2",0.00201459370872347,0.326559878813869,0.278,0.195,1,"6","PTP4A2"
"OAZ11",0.00213148032464629,0.363398125722052,0.435,0.339,1,"6","OAZ1"
"TMED10",0.00216012287141748,0.303818678851287,0.333,0.243,1,"6","TMED10"
"RPL10A1",0.00217867281647494,0.304275529917941,0.502,0.399,1,"6","RPL10A"
"SRSF31",0.00224111110116154,0.411216739023821,0.302,0.223,1,"6","SRSF3"
"UBB2",0.00247229682892498,0.309094462629978,0.431,0.337,1,"6","UBB"
"RPS211",0.00247618886455713,0.356985157072094,0.498,0.413,1,"6","RPS21"
"SEC61B",0.00260640754459164,0.371159494317955,0.298,0.222,1,"6","SEC61B"
"CALM22",0.00264908775467846,0.39164451050539,0.396,0.312,1,"6","CALM2"
"ANXA21",0.00285745388541438,0.339197280125027,0.478,0.389,1,"6","ANXA2"
"CSTB1",0.00289072449816722,0.308326287277136,0.263,0.184,1,"6","CSTB"
"ACTG11",0.00313570133859383,0.254434936151911,0.651,0.565,1,"6","ACTG1"
"SUMO2",0.00319859400714275,0.440134212120716,0.263,0.188,1,"6","SUMO2"
"DDX213",0.00344051439833872,0.303042398021685,0.302,0.221,1,"6","DDX21"
"SH3BGRL33",0.00352529199385226,0.299438470388792,0.494,0.403,1,"6","SH3BGRL3"
"RPLP02",0.00372628097655376,0.283200578333946,0.6,0.513,1,"6","RPLP0"
"EIF1AX1",0.00399396043720304,0.277874282155674,0.267,0.187,1,"6","EIF1AX"
"HNRNPU2",0.00410330798952965,0.340865676755613,0.435,0.357,1,"6","HNRNPU"
"RPL371",0.00424214872388297,0.269591265624877,0.761,0.678,1,"6","RPL37"
"SEPT71",0.00462233452335999,0.359736563275242,0.259,0.185,1,"6","SEPT7"
"PABPC41",0.00523704151619945,0.320509108109945,0.337,0.253,1,"6","PABPC4"
"COX6C",0.00547997104058222,0.30413557255336,0.412,0.323,1,"6","COX6C"
"RHOA",0.00576066801704844,0.312478524474705,0.361,0.279,1,"6","RHOA"
"MTDH",0.00606618419270641,0.307175348409997,0.275,0.201,1,"6","MTDH"
"PRDX12",0.00802038174229972,0.345945799479358,0.357,0.287,1,"6","PRDX1"
"MZB12",0.00806314751211645,0.356201516150319,0.404,0.327,1,"6","MZB1"
"RPL211",0.00902157848583376,0.301969491601103,0.745,0.684,1,"6","RPL21"
"HNRNPH11",0.00919780029146341,0.399462867413622,0.353,0.277,1,"6","HNRNPH1"
"TM4SF11",8.79451750872681e-188,2.71681465962138,0.97,0.057,1.88765523807312e-183,"7","TM4SF1"
"POSTN1",7.01911443557502e-176,3.47694890122319,0.803,0.043,1.50658272245182e-171,"7","POSTN"
"ETS21",1.08141803411266e-105,2.09775782224354,0.939,0.089,2.3211556684194e-101,"7","ETS2"
"FKBP5",4.27310004752706e-82,1.78103794942806,0.712,0.066,9.17178194201208e-78,"7","FKBP5"
"ETS11",6.38619919172025e-78,2.06683691086022,0.939,0.114,1.37073379451083e-73,"7","ETS1"
"IGFBP72",6.27962987095974e-73,2.5677648436801,1,0.15,1.3478597555028e-68,"7","IGFBP7"
"TGFBR21",4.15902982067917e-66,2.02252586021748,0.803,0.1,8.92694160710578e-62,"7","TGFBR2"
"NOP53",1.5075761257086e-65,1.79750677857789,0.848,0.109,3.23586139622093e-61,"7","NOP53"
"PECAM11",3.07478644331501e-64,1.99022220732717,0.879,0.117,6.59972162193134e-60,"7","PECAM1"
"AQP11",3.44779051498399e-64,2.23393693726334,0.879,0.122,7.40033756136164e-60,"7","AQP1"
"RNASE1",7.39477013972919e-64,2.3030289467657,0.788,0.102,1.58721346279147e-59,"7","RNASE1"
"SYNE22",3.08804167167923e-60,1.64982250154124,0.985,0.147,6.6281726440923e-56,"7","SYNE2"
"FHL1",2.26545499695385e-54,1.65254598420959,0.727,0.094,4.86257260546175e-50,"7","FHL1"
"ABL21",2.11000958616786e-53,1.93352019837618,0.955,0.154,4.5289245757507e-49,"7","ABL2"
"MACF12",2.94056312208487e-53,1.6941376677419,0.97,0.157,6.31162468524296e-49,"7","MACF1"
"ELK31",3.48543257147981e-53,1.69168894130993,0.788,0.11,7.48113247142426e-49,"7","ELK3"
"KLF91",9.10769828260333e-53,1.88193808424484,0.97,0.157,1.95487635937798e-48,"7","KLF9"
"MYH92",1.90695027113175e-51,1.45290955130012,0.985,0.16,4.09307806195719e-47,"7","MYH9"
"IL1R1",9.59132824147667e-49,1.98700106723978,0.652,0.088,2.05868269375055e-44,"7","IL1R1"
"NCOA72",1.37070441855471e-44,1.51687308230765,0.97,0.174,2.94207996398582e-40,"7","NCOA7"
"SPTBN11",6.02944140580284e-43,1.41853976449973,0.879,0.151,1.29415930334152e-38,"7","SPTBN1"
"GSN2",1.22323595315767e-41,1.83265928455192,0.985,0.283,2.62555364985762e-37,"7","GSN"
"KTN13",8.3341396587053e-41,1.70818605762971,0.97,0.188,1.7888397363445e-36,"7","KTN1"
"JMJD1C3",3.31604374229374e-39,1.62684021277654,0.97,0.192,7.11755628845928e-35,"7","JMJD1C"
"SDCBP1",6.8214825889094e-39,1.6425943379303,0.924,0.177,1.46416302288351e-34,"7","SDCBP"
"TFPI1",2.14963651352657e-38,1.54981218329354,0.833,0.15,4.61397981263343e-34,"7","TFPI"
"PTMS1",2.97452868720042e-38,1.86799332853348,0.955,0.193,6.38452837420699e-34,"7","PTMS"
"MTRNR2L82",4.81914634462559e-38,1.6025486432064,1,0.206,1.03438157141044e-33,"7","MTRNR2L8"
"GLUL",6.07673514098244e-38,1.54576407448224,0.727,0.123,1.30431043066047e-33,"7","GLUL"
"SPAG91",7.05128164585647e-38,1.70516870730214,0.848,0.158,1.51348709246663e-33,"7","SPAG9"
"IL6ST2",7.37963625419537e-38,1.88913074662579,0.97,0.204,1.58396512560049e-33,"7","IL6ST"
"EIF3E",1.69860548229203e-37,1.54970800090817,0.864,0.163,3.64588680719162e-33,"7","EIF3E"
"CAVIN12",2.3373817512883e-37,1.7871070981108,0.97,0.196,5.01695619096521e-33,"7","CAVIN1"
"MTRNR2L122",1.42239713128605e-36,1.34331507197319,0.97,0.198,3.05303320259238e-32,"7","MTRNR2L12"
"MYL12B",2.275003423616e-36,1.82826907148227,0.818,0.156,4.88306734844938e-32,"7","MYL12B"
"CEBPD1",3.59470972300667e-35,1.75135271303249,0.97,0.208,7.71568494946152e-31,"7","CEBPD"
"VIM3",3.71781620500639e-35,1.83600068029492,1,0.857,7.97992070242571e-31,"7","VIM"
"IFI163",8.39081619081959e-35,1.67320431202788,0.985,0.21,1.80100478719752e-30,"7","IFI16"
"EMP12",2.9961987573308e-34,2.17270181790709,0.985,0.263,6.43104101273482e-30,"7","EMP1"
"MYL12A",3.38354998390009e-34,1.71279279006529,0.848,0.172,7.26245168544315e-30,"7","MYL12A"
"CFH2",5.6680705738886e-34,1.42001537315486,0.97,0.202,1.21659466797945e-29,"7","CFH"
"PMP221",2.27340692909356e-33,1.31244222062979,0.879,0.174,4.87964063260642e-29,"7","PMP22"
"MGP1",3.56475072709146e-33,2.26009880411165,0.985,0.383,7.65138096062911e-29,"7","MGP"
"DCN2",8.36230176921872e-33,2.02006121613807,0.97,0.343,1.79488445174511e-28,"7","DCN"
"ZFAND53",9.95586860036976e-33,1.32562205089155,0.955,0.2,2.13692763638336e-28,"7","ZFAND5"
"SEPT72",1.35612257036898e-32,1.58347262304642,0.879,0.182,2.91078148503997e-28,"7","SEPT7"
"N4BP2L21",2.95024522704814e-32,1.25637519048422,0.864,0.174,6.33240635533613e-28,"7","N4BP2L2"
"HNRNPA14",8.41598465627306e-32,1.2786576038113,0.955,0.203,1.80640694662245e-27,"7","HNRNPA1"
"RACK14",8.99742660321313e-32,1.7623963372839,1,0.386,1.93120764611367e-27,"7","RACK1"
"WSB1",2.6409318577244e-31,1.46860157850951,0.818,0.166,5.66849613941965e-27,"7","WSB1"
"PNISR1",7.198540857028e-30,1.31942616187684,0.894,0.196,1.54509480955249e-25,"7","PNISR"
"MT-ND22",7.90642251056024e-30,1.53648838302803,1,0.962,1.69703452766665e-25,"7","MT-ND2"
"TPT12",8.66706661717204e-30,1.53916623520305,1,0.918,1.86029917870981e-25,"7","TPT1"
"ARGLU12",8.71971697402904e-30,1.38193830663506,0.848,0.181,1.87160005130559e-25,"7","ARGLU1"
"S100A13",1.2418122044485e-29,1.71807091477209,0.818,0.178,2.66542571562826e-25,"7","S100A13"
"DDX214",1.55068590350571e-29,1.23644820039093,0.97,0.218,3.32839222328466e-25,"7","DDX21"
"EID1",1.70025713720554e-29,1.62812893368045,0.909,0.199,3.64943191929797e-25,"7","EID1"
"NKTR1",2.6774665699377e-29,1.21301615180767,0.818,0.172,5.74691424571428e-25,"7","NKTR"
"CST32",5.41748873143544e-29,1.61166166079154,1,0.501,1.1628097813153e-24,"7","CST3"
"UQCRB2",9.45649568582207e-29,1.29985871067297,0.985,0.23,2.02974223400485e-24,"7","UQCRB"
"MT-ATP61",1.06023578783568e-28,1.28512450375804,1,0.982,2.27569009501051e-24,"7","MT-ATP6"
"HNRNPA33",1.45217463906764e-28,1.29565573195656,0.985,0.229,3.11694764529478e-24,"7","HNRNPA3"
"LGALS32",1.48669832501948e-28,1.43628920931389,0.985,0.23,3.19104928482182e-24,"7","LGALS3"
"NACA2",1.58428751754814e-28,1.40634796351874,1,0.402,3.40051472766532e-24,"7","NACA"
"APOE1",3.46453292405621e-28,1.89645305208299,0.97,0.271,7.43627346819424e-24,"7","APOE"
"RPL82",4.52083425368304e-28,1.64029773075183,1,0.475,9.70351864210528e-24,"7","RPL8"
"RPS132",4.82876736099065e-28,1.74325202802872,1,0.484,1.03644662636303e-23,"7","RPS13"
"SLC2A33",9.26675050777515e-28,1.22148234959153,0.985,0.231,1.98901532898886e-23,"7","SLC2A3"
"MSN2",9.96978255022348e-28,1.35022540290759,0.848,0.187,2.13991412657997e-23,"7","MSN"
"HSP90AB12",1.23506484475236e-27,1.537796177367,0.985,0.407,2.65094318277646e-23,"7","HSP90AB1"
"RPL263",2.4326977649864e-27,1.50332176973088,1,0.549,5.22154248276681e-23,"7","RPL26"
"MT-ND12",2.58125055470302e-27,1.3587778835125,1,0.921,5.54039619061456e-23,"7","MT-ND1"
"RPS212",3.9120111856595e-27,1.61613812625669,1,0.411,8.39674080889955e-23,"7","RPS21"
"BHLHE402",4.6995065255561e-27,1.26094915543425,0.909,0.208,1.00870208064536e-22,"7","BHLHE40"
"LRRFIP12",2.18995080665719e-26,1.07188703226024,0.985,0.231,4.700510411409e-22,"7","LRRFIP1"
"DEK1",2.90411912223684e-26,1.30799580226503,0.667,0.135,6.23340128396916e-22,"7","DEK"
"IGFBP42",3.0659242164225e-26,1.18941963043801,0.97,0.231,6.58069973812926e-22,"7","IGFBP4"
"CYR611",3.92977889149769e-26,1.32788902784438,0.879,0.2,8.43487741271065e-22,"7","CYR61"
"YBX32",4.26236307021785e-26,1.64599317696089,0.985,0.315,9.14873609391559e-22,"7","YBX3"
"MAP1LC3B1",5.87118298066113e-26,1.21805059566123,0.697,0.147,1.2601907149691e-21,"7","MAP1LC3B"
"RPS202",2.46533540715013e-25,1.27272360696897,1,0.391,5.29159591790703e-21,"7","RPS20"
"CCNI1",2.64533169681932e-25,1.62138149678966,0.864,0.21,5.677939954053e-21,"7","CCNI"
"RPL292",3.0015457708683e-25,1.32799552483825,1,0.496,6.44251784259172e-21,"7","RPL29"
"NDRG11",3.3611486717839e-25,1.27741472791566,0.697,0.149,7.21436950911697e-21,"7","NDRG1"
"SF3B11",3.55338508481459e-25,1.32818617208202,0.833,0.194,7.62698574604605e-21,"7","SF3B1"
"RPS72",4.54010658967649e-25,1.43519258639877,1,0.443,9.74488478408161e-21,"7","RPS7"
"RPL191",6.8113798825711e-25,1.45527640661388,1,0.598,1.46199457799506e-20,"7","RPL19"
"HIF1A1",7.19816639857998e-25,1.72679682645936,0.985,0.27,1.54501443579121e-20,"7","HIF1A"
"RPS232",8.31775459489749e-25,1.5752449809681,1,0.639,1.7853228462488e-20,"7","RPS23"
"RPL301",1.23931111581927e-24,1.57062749703831,1,0.627,2.66005737899448e-20,"7","RPL30"
"MT-CYB2",1.79973803953731e-24,1.17531837171169,1,0.981,3.86295772806289e-20,"7","MT-CYB"
"RPL111",3.01714490046782e-24,1.43821853004139,1,0.719,6.47599981436414e-20,"7","RPL11"
"RPS122",4.77195550802517e-24,1.53667347083511,1,0.77,1.02425253024252e-19,"7","RPS12"
"RPL23A2",5.41245413114195e-24,1.32633908283788,1,0.457,1.16172915470831e-19,"7","RPL23A"
"RPL222",6.00604117419093e-24,1.32375922859472,1,0.455,1.28913667762834e-19,"7","RPL22"
"RPS3A1",6.11463303458595e-24,1.45046006771316,1,0.606,1.31244483454353e-19,"7","RPS3A"
"JAK1",7.99980814475792e-24,1.16401604199514,0.682,0.149,1.71707882019084e-19,"7","JAK1"
"RPS242",8.99962121712387e-24,1.4771260796355,1,0.713,1.93167869804347e-19,"7","RPS24"
"GPNMB",9.36087955430477e-24,1.21314927297522,0.667,0.143,2.00921918753597e-19,"7","GPNMB"
"RPS32",1.31728834612927e-23,1.31041931235234,1,0.509,2.82742770613186e-19,"7","RPS3"
"RPL73",1.75573316088724e-23,1.51119180373836,0.985,0.414,3.76850565652836e-19,"7","RPL7"
"RPS162",2.31791567269798e-23,1.50130190303609,1,0.519,4.97517419987893e-19,"7","RPS16"
"EEF1A12",2.62217237444281e-23,1.30559302259253,1,0.94,5.62823078450405e-19,"7","EEF1A1"
"RPL93",3.04339100788918e-23,1.4718793558343,1,0.621,6.53233445933334e-19,"7","RPL9"
"HLA-E2",3.72949411431619e-23,1.39168433707153,1,0.477,8.00498616696828e-19,"7","HLA-E"
"RPS4X1",4.21398148478207e-23,1.56489539808125,1,0.629,9.04488985893623e-19,"7","RPS4X"
"RAC13",5.40532742898342e-23,1.30734526242218,0.894,0.225,1.160199479357e-18,"7","RAC1"
"RPS192",5.46076205766582e-23,1.36059239058217,1,0.643,1.17209796805739e-18,"7","RPS19"
"RPL310",5.950904240058e-23,1.3304432792852,1,0.597,1.27730208608605e-18,"7","RPL3"
"CEBPB1",5.99649305593019e-23,1.38165325703528,0.955,0.246,1.28708726952486e-18,"7","CEBPB"
"ENO12",6.6747011890595e-23,1.17880335319859,0.909,0.226,1.43265786321973e-18,"7","ENO1"
"RPL18A2",6.95685817089693e-23,1.29428597773024,1,0.624,1.49322003780132e-18,"7","RPL18A"
"MT-ND42",7.80238764567731e-23,1.04561682837101,1,0.98,1.67470448426818e-18,"7","MT-ND4"
"ANXA13",8.12996971704006e-23,1.30520773663659,0.985,0.432,1.74501670006548e-18,"7","ANXA1"
"GOLGB11",9.58231196479201e-23,1.03855770420845,0.909,0.223,2.05674744012296e-18,"7","GOLGB1"
"CTSB1",9.85537943152267e-23,1.15013801295177,0.864,0.214,2.11535864118203e-18,"7","CTSB"
"RPS213",1.0686764138555e-22,1.35754672819638,1,0.633,2.29380705469943e-18,"7","RPS2"
"GOLGA4",1.51073006975878e-22,1.32795216778032,0.742,0.177,3.24263102173024e-18,"7","GOLGA4"
"NNMT2",1.58912300003339e-22,1.67614780683931,0.97,0.312,3.41089360727167e-18,"7","NNMT"
"STAT31",1.64913825890195e-22,1.39708692346933,0.833,0.206,3.53971035890714e-18,"7","STAT3"
"RPL242",1.96470336318347e-22,1.34664324669148,1,0.508,4.21703929873701e-18,"7","RPL24"
"DST2",2.92675742067995e-22,1.22614358711597,0.924,0.232,6.28199212774744e-18,"7","DST"
"GPX31",5.45681586931958e-22,1.11878997357958,0.742,0.175,1.17125095819075e-17,"7","GPX3"
"RPS251",6.07571405287333e-22,1.33773578062066,1,0.511,1.30409126430873e-17,"7","RPS25"
"UGP21",8.01639361995812e-22,1.25475035515326,0.773,0.188,1.72063872658781e-17,"7","UGP2"
"TCF41",8.02223155941283e-22,1.2580170187336,0.97,0.256,1.72189178191237e-17,"7","TCF4"
"RPL152",1.01108732767497e-21,1.44037618468726,1,0.567,2.17019784012155e-17,"7","RPL15"
"PLCG21",1.01823192805597e-21,1.13446614835409,0.712,0.167,2.18553301037933e-17,"7","PLCG2"
"RPS152",1.21663041879435e-21,1.36486398626786,1,0.654,2.6113755309002e-17,"7","RPS15"
"RPL143",1.24006230958368e-21,1.15209607490719,1,0.5,2.66166974129042e-17,"7","RPL14"
"CSDE1",1.27207581542788e-21,1.30740689667284,0.773,0.192,2.7303835302344e-17,"7","CSDE1"
"NAP1L13",1.28072240983093e-21,1.11387905214918,0.97,0.255,2.74894258046111e-17,"7","NAP1L1"
"RPL372",1.4417910608385e-21,1.52414812404754,1,0.678,3.09466033298376e-17,"7","RPL37"
"ATF41",1.70109378531035e-21,1.54501039225013,0.758,0.197,3.65122770079014e-17,"7","ATF4"
"ZFP361",2.07748748925117e-21,1.05615046419249,1,0.465,4.4591191469287e-17,"7","ZFP36"
"SET2",2.68344897104737e-21,1.07110638116298,0.894,0.229,5.75975487145608e-17,"7","SET"
"RPL322",2.85411418730164e-21,1.37717074655511,1,0.748,6.12607069162424e-17,"7","RPL32"
"RPL181",3.66972853578311e-21,1.34111475801542,1,0.554,7.87670532920487e-17,"7","RPL18"
"RPS64",3.69940644160249e-21,1.23845057607836,1,0.715,7.94040598625558e-17,"7","RPS6"
"NUCKS12",4.27791687285571e-21,1.50503490574182,0.955,0.262,9.18212077589749e-17,"7","NUCKS1"
"RPL52",4.68715606465152e-21,1.32921828994925,1,0.552,1.0060511777168e-16,"7","RPL5"
"RPL35A1",5.10015093258117e-21,1.37311793000413,1,0.592,1.09469639616922e-16,"7","RPL35A"
"SERPING12",5.27404663448418e-21,1.30259364725755,0.955,0.26,1.13202136962568e-16,"7","SERPING1"
"COL6A12",5.79685295894646e-21,1.5180200877424,0.97,0.274,1.24423651910827e-16,"7","COL6A1"
"RPL121",6.24111914341699e-21,1.53018528879566,0.985,0.629,1.33959381294302e-16,"7","RPL12"
"MMP22",7.0694772528048e-21,1.37006535846022,0.97,0.268,1.51739259754202e-16,"7","MMP2"
"RPL7A1",7.36222731152834e-21,1.53118264397612,1,0.568,1.58022847014644e-16,"7","RPL7A"
"AKAP131",7.63723288983622e-21,0.914221404488762,0.97,0.253,1.63925566747445e-16,"7","AKAP13"
"NORAD",7.67561046167884e-21,1.08769172763156,0.803,0.197,1.64749302949475e-16,"7","NORAD"
"RPLP03",7.90860579320856e-21,1.30011742844484,1,0.512,1.69750314745428e-16,"7","RPLP0"
"SF11",8.06802956949686e-21,1.15975650089551,0.758,0.188,1.73172186679681e-16,"7","SF1"
"APP2",9.69249080344301e-21,1.33674548882475,0.97,0.271,2.08039622605101e-16,"7","APP"
"SLC38A22",1.1194786001762e-20,1.38345354785803,0.97,0.271,2.40284886741819e-16,"7","SLC38A2"
"UBE2D33",1.20540229559344e-20,1.10979441886376,0.894,0.231,2.58727548726176e-16,"7","UBE2D3"
"RPL233",1.36208833841103e-20,1.29351843657648,1,0.485,2.92358640956544e-16,"7","RPL23"
"MT-ND4L2",1.67318188442876e-20,1.30814437426517,1,0.642,3.5913175967379e-16,"7","MT-ND4L"
"CAST1",1.88080961283118e-20,1.25060801363086,0.97,0.266,4.03696975298084e-16,"7","CAST"
"ST131",1.95148456170596e-20,1.18123451678264,0.773,0.195,4.18866646324567e-16,"7","ST13"
"RPL10A2",1.98243580229108e-20,1.18633231804597,1,0.397,4.25510020603758e-16,"7","RPL10A"
"TOMM71",2.17599822164255e-20,1.01361479555651,0.97,0.255,4.67056258293357e-16,"7","TOMM7"
"IQGAP11",3.12490831557858e-20,1.43696066232051,0.939,0.266,6.70730320855785e-16,"7","IQGAP1"
"RPL27A1",4.54461266294251e-20,1.13606419829847,1,0.517,9.75455661973981e-16,"7","RPL27A"
"SRSF53",5.11274824323596e-20,1.36485224267886,0.97,0.274,1.09740028292817e-15,"7","SRSF5"
"RPL282",5.88378878871988e-20,1.0606599189066,1,0.702,1.26289642561083e-15,"7","RPL28"
"IFITM23",6.14255374746011e-20,1.0724579368407,0.97,0.262,1.31843773635484e-15,"7","IFITM2"
"RPS92",6.50873944247325e-20,1.2590006206773,1,0.556,1.39703583393246e-15,"7","RPS9"
"CALD12",7.11626746625956e-20,1.87668248241575,0.955,0.291,1.52743564895795e-15,"7","CALD1"
"HNRNPDL2",7.90849935200042e-20,1.42666011204035,0.864,0.239,1.69748030091337e-15,"7","HNRNPDL"
"RPL212",7.99547673907809e-20,1.37816081522039,1,0.683,1.71614912727572e-15,"7","RPL21"
"RTN41",8.14370789972142e-20,1.02302486670212,0.894,0.233,1.74796546359621e-15,"7","RTN4"
